frame_idx,detections,persons,fps_inst
0,12,10,10.465
1,13,10,39.288
2,11,10,19.980
3,12,11,26.686
4,12,11,34.082
5,12,11,33.496
6,12,11,29.432
7,12,11,28.656
8,12,11,33.911
9,11,10,28.527
10,11,10,34.399
11,10,10,34.889
12,11,10,34.170
13,11,10,32.991
14,12,10,33.087
15,11,10,34.456
16,13,11,34.267
17,12,10,30.465
18,12,10,33.644
19,12,10,32.395
20,12,10,29.746
21,12,10,32.643
22,12,10,33.367
23,12,10,33.837
24,12,10,33.519
25,13,11,30.184
26,13,11,30.892
27,13,11,29.449
28,13,11,33.533
29,13,11,33.328
30,11,10,32.914
31,11,10,34.293
32,11,10,31.264
33,10,10,33.017
34,11,10,32.048
35,10,10,33.727
36,10,10,29.524
37,10,10,40.522
38,11,11,42.712
39,11,11,32.549
40,12,11,32.282
41,12,11,34.179
42,12,11,30.161
43,13,12,32.052
44,12,11,28.271
45,11,10,30.951
46,11,10,31.879
47,11,10,30.480
48,11,10,29.113
49,11,10,33.573
50,10,9,32.128
51,10,9,31.604
52,10,9,32.470
53,12,11,33.374
54,13,11,34.805
55,12,11,29.481
56,12,11,35.547
57,9,9,35.488
58,9,8,33.689
59,9,8,33.228
60,10,9,30.777
61,9,8,31.446
62,9,8,31.740
63,10,9,31.998
64,10,9,31.035
65,10,9,33.252
66,9,8,33.293
67,10,9,33.805
68,10,9,35.128
69,9,8,38.247
70,10,9,34.690
71,10,9,33.597
72,10,9,29.078
73,8,7,30.856
74,9,8,32.031
75,9,9,31.927
76,10,10,31.571
77,7,7,33.321
78,8,8,33.223
79,8,8,32.617
80,9,9,33.208
81,10,9,37.151
82,7,6,33.963
83,5,5,41.348
84,5,5,43.221
85,6,6,41.710
86,6,6,41.446
87,5,5,38.327
88,6,5,37.917
89,5,5,40.586
90,6,6,39.054
91,6,6,38.090
92,5,5,39.955
93,7,7,40.355
94,7,7,39.766
95,7,7,38.674
96,7,7,41.350
97,7,7,40.941
98,7,7,42.489
99,7,7,38.208
100,9,7,40.165
101,9,7,41.397
102,8,7,40.085
103,9,7,39.474
104,10,8,36.575
105,9,8,34.462
106,7,7,42.922
107,6,6,42.037
108,8,8,43.051
109,8,8,39.639
110,8,8,43.180
111,8,8,39.582
112,8,8,42.066
113,10,10,33.173
114,10,10,40.237
115,11,11,34.895
116,11,10,38.638
