frame_idx,detections,persons,fps_inst
0,10,10,11.026
1,10,10,39.147
2,10,10,29.725
3,11,11,32.087
4,11,11,25.034
5,11,11,29.560
6,11,11,33.671
7,11,11,29.292
8,11,11,32.338
9,10,10,34.005
10,10,10,33.219
11,10,10,32.714
12,10,10,33.862
13,10,10,25.998
14,10,10,33.023
15,10,10,34.834
16,11,11,27.146
17,10,10,29.854
18,10,10,44.260
19,10,10,36.049
20,10,10,35.465
21,10,10,24.138
22,10,10,32.732
23,10,10,38.478
24,10,10,31.869
25,11,11,29.374
26,11,11,32.529
27,11,11,27.721
28,11,11,33.437
29,11,11,31.555
30,10,10,33.666
31,10,10,25.729
32,10,10,32.803
33,10,10,32.120
34,10,10,34.046
35,10,10,23.935
36,10,10,31.682
37,10,10,34.016
38,11,11,24.293
39,11,11,29.821
40,11,11,34.606
41,11,11,32.848
42,11,11,34.186
43,12,12,31.777
44,11,11,28.258
45,10,10,29.953
46,10,10,34.172
47,10,10,25.491
48,10,10,34.147
49,10,10,25.058
50,9,9,32.257
51,9,9,33.927
52,9,9,26.435
53,11,11,32.119
54,11,11,33.012
55,11,11,24.348
56,11,11,34.360
57,9,9,24.607
58,8,8,32.285
59,8,8,33.919
60,9,9,26.421
61,8,8,30.835
62,8,8,34.160
63,9,9,27.961
64,9,9,27.838
65,9,9,30.989
66,8,8,34.028
67,9,9,27.198
68,9,9,33.889
69,8,8,25.962
70,9,9,33.623
71,9,9,32.129
72,9,9,25.448
73,7,7,30.324
74,8,8,34.919
75,9,9,26.514
76,10,10,31.329
77,7,7,33.396
78,8,8,25.150
79,8,8,29.318
80,9,9,32.761
81,9,9,26.083
82,6,6,34.284
83,5,5,32.361
84,5,5,26.833
85,6,6,30.589
86,6,6,34.490
87,5,5,33.770
88,5,5,32.461
89,5,5,33.206
90,6,6,34.090
91,6,6,27.812
92,5,5,31.889
93,7,7,32.566
94,7,7,33.987
95,7,7,29.041
96,7,7,35.004
97,7,7,27.850
98,7,7,33.991
99,7,7,31.661
100,7,7,27.813
101,7,7,30.744
102,7,7,35.203
103,7,7,33.340
104,8,8,36.530
105,8,8,27.468
106,7,7,31.127
107,6,6,33.690
108,8,8,27.457
109,8,8,34.089
110,8,8,25.095
111,8,8,34.283
112,8,8,31.910
113,10,10,28.754
114,10,10,32.013
115,11,11,34.360
116,10,10,26.899
117,11,11,30.250
118,11,11,31.599
119,11,11,29.091
120,10,10,30.724
121,10,10,34.942
122,10,10,24.029
123,10,10,31.799
124,11,11,24.933
125,12,12,32.426
126,11,11,32.242
127,11,11,31.832
128,10,10,31.838
129,11,11,24.910
130,11,11,29.874
131,10,10,25.262
132,9,9,31.054
133,9,9,34.446
134,10,10,29.161
135,8,8,32.077
136,8,8,30.304
137,9,9,34.296
138,10,10,31.452
139,9,9,31.604
140,9,9,35.180
141,9,9,33.305
142,10,10,32.353
143,10,10,33.720
144,10,10,31.677
145,10,10,26.726
146,10,10,30.433
147,10,10,33.937
148,11,11,26.623
149,11,11,33.253
150,12,12,31.095
151,13,13,29.386
152,11,11,32.531
153,11,11,32.936
154,10,10,33.020
155,9,9,26.186
156,10,10,30.363
157,10,10,33.887
158,9,9,26.535
159,9,9,32.865
160,9,9,25.677
161,9,9,33.535
162,11,11,27.597
163,12,12,32.223
164,11,11,25.710
165,10,10,33.668
166,10,10,30.410
167,11,11,40.687
168,10,10,40.084
169,12,12,29.565
170,13,13,34.433
171,13,13,28.282
172,13,13,31.924
173,12,12,33.972
174,12,12,24.681
175,10,10,33.745
176,10,10,26.426
177,11,11,34.410
178,10,10,23.118
179,9,9,32.672
180,9,9,30.277
181,9,9,32.956
182,10,10,33.249
183,10,10,26.532
184,11,11,31.350
185,11,11,27.849
186,11,11,30.271
187,12,12,25.060
188,11,11,30.469
189,11,11,34.476
190,12,12,30.853
191,12,12,33.805
192,12,12,30.136
193,12,12,33.998
194,12,12,25.652
195,12,12,30.153
196,12,12,32.143
197,11,11,26.498
198,11,11,30.691
199,11,11,32.698
200,12,12,32.310
201,12,12,34.838
202,12,12,26.032
203,14,14,33.021
204,13,13,26.541
205,14,14,33.707
206,14,14,30.209
207,13,13,34.253
208,13,13,25.321
209,15,15,33.169
210,15,15,23.059
211,12,12,30.752
212,12,12,32.734
213,14,14,26.085
214,12,12,30.025
215,11,11,33.367
216,11,11,33.077
217,12,12,28.472
218,12,12,31.965
219,13,13,30.170
220,14,14,31.915
221,14,14,32.938
222,12,12,31.140
223,13,13,28.253
224,12,12,31.513
225,11,11,33.090
226,12,12,32.529
227,12,12,30.802
228,11,11,31.989
229,12,12,34.540
230,11,11,25.745
231,12,12,34.106
